Milliseconds,Seconds,Latitude,Lat Degree,Lat Minute,Lat Second,Longitude,Long Degree,Long Minute,Long Second,Altitude,Speed,AcclX,AcclY,AcclZ,GyroX,GyroY,GyroZ,Course,Heading
130020,130,49.2411386,49,14,28.09896,-121.8913898,-121,-53,-29.00328,622.44,7.126,7.03117506,2.170263789,2.067146283,0.141640043,0.127795527,-0.108626198,206.6,207.6
131010,131,49.2410818,49,14,27.89448,-121.8913412,-121,-53,-28.82832,619.943,7.647,9.995203837,3.613908873,1.923261391,-0.221512247,-0.230031949,-0.167199148,209.9,206.9
132000,132,49.2410295,49,14,27.7062,-121.8912546,-121,-53,-28.51656,616.878,8.95,9.695443645,0.743405276,1.882494005,0.033013845,-0.013844515,-0.107561235,207.4,209.4
133010,133,49.2409685,49,14,27.4866,-121.8911543,-121,-53,-28.15548,615.214,9.327,10.69064748,-0.436450839,1.645083933,-0.072417465,0.139510117,-0.022364217,212,213
134013,134,49.2408995,49,14,27.2382,-121.8910911,-121,-53,-27.92796,613.634,8.691,10.21342926,2.139088729,2.700239808,-1.604898829,0.094781683,-0.072417465,207.6,204.6
135025,135,49.2408282,49,14,26.98152,-121.8910609,-121,-53,-27.81924,612.5,8.226,8.6882494,2.995203837,1.227817746,-0.031948882,0.135250266,-0.176783813,204.6,207.6
136015,136,49.2407565,49,14,26.7234,-121.8910301,-121,-53,-27.70836,610.898,8.472,9.925659472,2.35971223,3.32853717,-0.160809372,-0.077742279,0.002129925,209.7,206.7
137005,137,49.2406925,49,14,26.493,-121.8909716,-121,-53,-27.49776,609.822,8.495,10.0647482,1.285371703,2.107913669,0.087326944,0.305644302,0.019169329,210.3,213.3
138015,138,49.2406258,49,14,26.25288,-121.8908872,-121,-53,-27.19392,609.915,9.053,8.316546763,0.76498801,2.597122302,-0.89456869,0.062832801,-1.297124601,213.6,211.6
139018,139,49.24056,49,14,26.016,-121.8908244,-121,-53,-26.96784,609.254,8.525,8.39088729,8.143884892,2.220623501,0.150159744,-0.127795527,-0.133120341,215.9,212.9
140030,140,49.240486,49,14,25.7496,-121.890788,-121,-53,-26.8368,608.647,8.887,6.199040767,6.824940048,3.211031175,0.330138445,-0.63684771,0.003194888,225.8,227.8
141020,141,49.2403985,49,14,25.4346,-121.8907832,-121,-53,-26.81952,608.571,9.506,8.035971223,7.630695444,0.942446043,-0.237486688,0.303514377,0.1171459,233.3,231.3
142010,142,49.2403214,49,14,25.15704,-121.8908081,-121,-53,-26.90916,608.73,8.885,9.103117506,-2.659472422,0.213429257,-0.166134185,0.010649627,0.414270501,243.3,243.3
143000,143,49.2402597,49,14,24.93492,-121.8908822,-121,-53,-27.17592,607.257,9.008,9.287769784,0.585131894,3.151079137,-0.120340788,-0.167199148,-0.150159744,247,248
